-5,0
-4,-4
-4,-3
-5,-2
-5,-2
-4,-2
-6,-3
-6,-2
-5,1
-1,-2
2,-2
-3,-2
7,-1
-3,-1
-2,-1
-4,-1
-43,-1
1,-2
9,-2
0,-1
23,-3
-3,-1
0,-1
-1,-1
25,-2
-5,-1
-5,-1
-3,-1
-4,-1
-3,-1
-2,-1
-2,-1
-7,-2
-3,-2
-3,-2
-3,-1
0,-1
-2,-1
7,1
4,0
-101,-24
-8,-3
-16,-5
-1,0
-105,-27
-14,-4
-55,-15
-24,-7
217,47
-4,0
-19,0
-9,-1
-94,-9
-6,-3
-51,-11
-29,-6
-3,41
23,3
39,5
1,-1
45,11
-1,-1
-11,-2
-11,-3
-5,16
8,0
9,1
-3,-1
-61,-11
-6,-3
-57,-16
-37,-11
-13,61
41,7
80,15
4,-1
175,55
12,4
35,16
3,4
-517,-96
50,6
132,17
30,4
289,42
-6,-1
39,6
15,1
345,60
-26,-4
-35,-5
-6,-2
-2,2
-2,0
-1,-1
-3,-1
62,19
-1,0
0,0
-1,-1
-7,-4
-5,-2
-27,-12
-19,-8
199,91
9,4
20,9
-4,-2
130,62
12,6
54,25
21,10
-48,-47
-23,-7
-60,-16
-17,-5
-183,-43
3,1
-33,-5
-20,-4
-547,-153
45,12
81,21
10,3
37,9
-1,-1
-15,-4
-12,-4
-249,-72
21,5
19,5
-6,-3
-155,-47
2,0
-69,-22
-47,-16
-1028,-316
116,37
226,73
33,10
154,54
2,0
-58,-19
-59,-20
-1883,-645
259,89
668,231
154,53
1508,534
-21,-8
232,84
110,40
2000,737
-168,-63
-249,-94
-30,-11
-93,-37
-2,-1
21,8
14,6
288,112
-24,-10
-19,-8
3,1
91,39
-1,0
34,18
19,11
50,-16
-17,-10
-18,-13
3,1
-108,-87
-15,-11
-83,-58
-49,-30
-538,-179
125,59
350,163
86,41
922,426
-20,-12
135,53
67,26
1903,982
-146,-69
-233,-110
-33,-17
-71,-24
-1,0
22,10
15,5
528,294
-36,-18
-29,-13
6,3
202,102
-11,-7
48,15
31,9
1357,814
-108,-57
-195,-101
-34,-19
-18,26
7,7
78,57
51,34
1127,628
-158,-93
-374,-220
-81,-48
-722,-430
8,5
-97,-58
-44,-27
-687,-417
52,33
72,45
6,5
23,15
-1,0
-6,-3
-4,-2
-44,-28
2,2
0,0
-1,-1
-4,-2
0,0
10,11
7,9
-126,-136
-9,-9
-20,-21
1,2
-149,-165
-17,-19
-82,-91
-36,-39
180,239
21,20
52,43
11,8
112,72
-10,-10
-19,-34
-11,-19
559,531
-20,-10
-33,-17
-8,-7
21,37
0,1
0,-3
-3,-6
196,196
-6,-3
-4,0
1,1
37,22
-7,-9
-18,-33
-10,-20
557,588
-20,-11
-36,-19
-11,-10
78,122
9,13
46,58
22,25
263,199
-44,-40
-101,-90
-22,-19
-186,-168
2,1
-24,-22
-11,-10
-157,-146
11,9
13,11
1,0
-2,-5
-1,-1
0,1
1,3
-34,-53
-3,-4
-4,-6
0,0
19,29
5,8
57,91
41,67
-534,-880
-35,-56
-76,-125
7,12
-564,-949
-64,-107
-293,-497
-124,-211
848,1522
46,70
78,108
10,11
36,-23
-26,-46
-142,-273
-79,-152
1156,1927
14,44
22,69
-10,-14
149,294
5,11
-20,-42
-26,-53
441,791
9,23
15,36
1,0
-37,-108
-26,-50
-172,-361
-108,-228
1551,3006
43,110
85,219
-18,-31
692,1498
66,143
270,577
99,208
-299,-896
-51,-81
-96,-139
-19,-24
-149,-184
3,7
-22,-30
-17,-30
-28,89
20,36
33,63
0,-1
70,168
2,6
-14,-33
-17,-42
210,540
11,28
16,41
-1,-2
-69,-179
-22,-58
-182,-485
-123,-329
1463,3975
81,223
169,471
-15,-42
1095,3092
112,320
482,1391
187,545
-1361,-3979
-42,-125
-39,-122
2,5
119,340
23,75
162,503
82,261
-712,-2317
-34,-105
-50,-156
2,7
-110,-360
-4,-12
13,47
15,51
-172,-600
-8,-27
-9,-33
0,0
23,96
7,29
54,209
30,121
-398,-1413
-9,-49
-13,-83
4,13
-115,-488
-11,-44
-43,-162
-17,-59
-130,-130
28,63
75,157
18,37
182,381
-3,-7
30,65
14,33
280,605
-24,-53
-37,-80
-5,-11
-12,-19
-1,0
2,3
1,-1
67,207
-3,-4
-2,0
0,0
10,-1
-3,-15
-17,-117
-14,-87
218,1254
8,64
22,152
-2,-13
162,1103
16,117
69,521
24,204
-380,-2057
19,17
69,152
20,56
234,743
1,26
67,357
35,189
276,-51
-43,-160
-68,-255
-7,-18
-45,-280
-1,-8
9,50
7,48
84,-17
-11,-47
-10,-48
1,6
